epoch,batch_size,embedding_dim,hidden_dim,activate_func,optimizer,learning_rate,l2_regular,dropout_rate,accuracy,precision,recall,f1,auc
200,64,200,100,tanh,adam,0.1,0.0,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
300,64,200,100,tanh,adam,0.1,0.0,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
400,64,200,100,tanh,adam,0.1,0.0,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
200,64,200,100,tanh,adam,0.1,0.001,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
300,64,200,100,tanh,adam,0.1,0.001,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
200,64,200,100,tanh,adam,0.001,0.0,0.0,0.957305852042694,0.8486842105263158,0.7865853658536586,0.8164556962025317,0.8836652237388847
300,64,200,100,tanh,adam,0.001,0.0,0.0,0.9532572690467428,0.8150470219435737,0.7926829268292683,0.8037094281298299,0.8839932005431398
200,64,200,100,tanh,adam,0.001,0.001,0.0,0.9550975340449024,0.7994186046511628,0.8384146341463414,0.8184523809523809,0.9047661282912536
300,64,200,100,tanh,adam,0.001,0.001,0.0,0.9547294810452706,0.8213166144200627,0.7987804878048781,0.8098918083462133,0.8874605662130294
200,64,200,100,tanh,sgd,0.1,0.0,0.0,0.9554655870445344,0.8204334365325078,0.8079268292682927,0.8141321044546851,0.8918244443536942
300,64,200,100,tanh,sgd,0.1,0.0,0.0,0.9550975340449024,0.8179012345679012,0.8079268292682927,0.8128834355828221,0.8916151517626519
200,64,200,100,tanh,sgd,0.1,0.001,0.0,0.9613544350386456,0.8679867986798679,0.8018292682926829,0.8335974643423137,0.8925429305046503
300,64,200,100,tanh,sgd,0.1,0.001,0.0,0.9392712550607288,0.7762711864406779,0.6981707317073171,0.7351524879614767,0.8352720548448683
200,64,200,100,tanh,sgd,0.001,0.0,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
300,64,200,100,tanh,sgd,0.001,0.0,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
200,64,200,100,tanh,sgd,0.001,0.001,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
300,64,200,100,tanh,sgd,0.001,0.001,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
200,64,200,100,relu,adam,0.1,0.0,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
300,64,200,100,relu,adam,0.1,0.0,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
200,64,200,100,relu,adam,0.1,0.001,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
300,64,200,100,relu,adam,0.1,0.001,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
200,64,200,100,relu,adam,0.001,0.0,0.0,0.9562016930437984,0.8317460317460318,0.7987804878048781,0.8149300155520995,0.8882977365771985
300,64,200,100,relu,adam,0.001,0.0,0.0,0.9562016930437984,0.8317460317460318,0.7987804878048781,0.8149300155520995,0.8882977365771985
200,64,200,100,relu,adam,0.001,0.001,0.0,0.9473684210526316,0.7605633802816901,0.8231707317073171,0.7906295754026355,0.893795495615065
300,64,200,100,relu,adam,0.001,0.001,0.0,0.9492086860507912,0.7878787878787878,0.7926829268292683,0.7902735562310029,0.8816909820416748
200,64,200,100,relu,sgd,0.1,0.0,0.0,0.958041958041958,0.8262195121951219,0.8262195121951219,0.8262195121951219,0.9011800784081512
300,64,200,100,relu,sgd,0.1,0.0,0.0,0.9576739050423259,0.8237082066869301,0.8262195121951219,0.8249619482496194,0.9009707858171088
200,64,200,100,relu,sgd,0.1,0.001,0.0,0.9429517850570482,0.7270341207349081,0.8445121951219512,0.7813822284908322,0.9004896680925788
300,64,200,100,relu,sgd,0.1,0.001,0.0,0.9642988590357012,0.8762214983713354,0.8201219512195121,0.8472440944881889,0.9021078571501494
200,64,200,100,relu,sgd,0.001,0.0,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
300,64,200,100,relu,sgd,0.001,0.0,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
200,64,200,100,relu,sgd,0.001,0.001,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
300,64,200,100,relu,sgd,0.001,0.001,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
200,64,200,100,tanh,adam,0.1,0.0,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
300,64,200,100,tanh,adam,0.1,0.0,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
200,64,200,100,tanh,adam,0.1,0.001,0.5,0.9289657710710342,0.8391959798994975,0.5091463414634146,0.6337760910815939,0.7478758078183545
300,64,200,100,tanh,adam,0.1,0.001,0.5,0.9470003680529996,0.9259259259259259,0.6097560975609756,0.7352941176470589,0.8015293673238114
200,64,200,100,tanh,adam,0.001,0.0,0.5,0.9550975340449024,0.8366013071895425,0.7804878048780488,0.807570977917981,0.8797792728869106
300,64,200,100,tanh,adam,0.001,0.0,0.5,0.9550975340449024,0.8344155844155844,0.7835365853658537,0.8081761006289309,0.8810943705397707
200,64,200,100,tanh,adam,0.001,0.001,0.5,0.9539933750460068,0.8011869436201781,0.8231707317073171,0.8120300751879699,0.8975627622538259
300,64,200,100,tanh,adam,0.001,0.001,0.5,0.9521531100478468,0.7861271676300579,0.8292682926829268,0.8071216617210683,0.8991464946043349
200,64,200,100,tanh,sgd,0.1,0.0,0.5,0.9558336400441664,0.8151515151515152,0.8201219512195121,0.817629179331307,0.8972941275561771
300,64,200,100,tanh,sgd,0.1,0.0,0.5,0.9554655870445344,0.8126888217522659,0.8201219512195121,0.8163884673748103,0.8970848349651349
200,64,200,100,tanh,sgd,0.1,0.001,0.5,0.9565697460434304,0.8220858895705522,0.8170731707317073,0.8195718654434251,0.8963976150854016
300,64,200,100,tanh,sgd,0.1,0.001,0.5,0.9613544350386456,0.8655737704918033,0.8048780487804879,0.8341232227488151,0.8938580281575106
200,64,200,100,tanh,sgd,0.001,0.0,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
300,64,200,100,tanh,sgd,0.001,0.0,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
200,64,200,100,tanh,sgd,0.001,0.001,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
300,64,200,100,tanh,sgd,0.001,0.001,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
200,64,200,100,relu,adam,0.1,0.0,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
300,64,200,100,relu,adam,0.1,0.0,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
200,64,200,100,relu,adam,0.1,0.001,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
300,64,200,100,relu,adam,0.1,0.001,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
200,64,200,100,relu,adam,0.001,0.0,0.5,0.9536253220463746,0.8344370860927153,0.7682926829268293,0.8,0.8736817119113008
300,64,200,100,relu,adam,0.001,0.0,0.5,0.9562016930437984,0.8360128617363344,0.7926829268292683,0.8137715179968701,0.8856675412714781
200,64,200,100,relu,adam,0.001,0.001,0.5,0.9455281560544718,0.734375,0.8597560975609756,0.7921348314606742,0.9085302044941757
300,64,200,100,relu,adam,0.001,0.001,0.5,0.9499447920500552,0.7742857142857142,0.8262195121951219,0.7994100294985249,0.8965756414052211
200,64,200,100,relu,sgd,0.1,0.0,0.5,0.9525211630474788,0.8024316109422492,0.8048780487804879,0.8036529680365296,0.888835005972496
300,64,200,100,relu,sgd,0.1,0.0,0.5,0.9525211630474788,0.8061538461538461,0.7987804878048781,0.8024502297090352,0.8862048106667756
200,64,200,100,relu,sgd,0.1,0.001,0.5,0.9495767390504232,0.7920489296636085,0.7896341463414634,0.7908396946564885,0.8805851769798569
300,64,200,100,relu,sgd,0.1,0.001,0.5,0.9609863820390137,0.875,0.7896341463414634,0.8301282051282052,0.8870732473021675
200,64,200,100,relu,sgd,0.001,0.0,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
300,64,200,100,relu,sgd,0.001,0.0,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
200,64,200,100,relu,sgd,0.001,0.001,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
300,64,200,100,relu,sgd,0.001,0.001,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
200,64,200,200,tanh,adam,0.1,0.0,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
300,64,200,200,tanh,adam,0.1,0.0,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
200,64,200,200,tanh,adam,0.1,0.001,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
300,64,200,200,tanh,adam,0.1,0.001,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
200,64,200,200,tanh,adam,0.001,0.0,0.0,0.9558336400441664,0.8513513513513513,0.7682926829268293,0.8076923076923077,0.8749374674575544
300,64,200,200,tanh,adam,0.001,0.0,0.0,0.9562016930437984,0.8518518518518519,0.7713414634146342,0.8096,0.8764618577014569
200,64,200,200,tanh,adam,0.001,0.001,0.0,0.94516010305484,0.7507002801120448,0.8170731707317073,0.7824817518248175,0.8899095447630909
300,64,200,200,tanh,adam,0.001,0.001,0.0,0.9429517850570482,0.7993079584775087,0.7042682926829268,0.7487844408427877,0.8399951760610114
200,64,200,200,tanh,sgd,0.1,0.0,0.0,0.9517850570482148,0.8049535603715171,0.7926829268292683,0.7987711213517665,0.8831560301789707
300,64,200,200,tanh,sgd,0.1,0.0,0.0,0.9521531100478468,0.8074534161490683,0.7926829268292683,0.8,0.8833653227700131
200,64,200,200,tanh,sgd,0.1,0.001,0.0,0.9455281560544718,0.875,0.6402439024390244,0.7394366197183099,0.8138431734882439
300,64,200,200,tanh,sgd,0.1,0.001,0.0,0.9359587780640412,0.7162921348314607,0.7774390243902439,0.7456140350877193,0.867580960499852
200,64,200,200,tanh,sgd,0.001,0.0,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
300,64,200,200,tanh,sgd,0.001,0.0,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
200,64,200,200,tanh,sgd,0.001,0.001,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
300,64,200,200,tanh,sgd,0.001,0.001,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
200,64,200,200,relu,adam,0.1,0.0,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
300,64,200,200,relu,adam,0.1,0.0,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
200,64,200,200,relu,adam,0.1,0.001,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
300,64,200,200,relu,adam,0.1,0.001,0.0,0.9466323150533676,0.9216589861751152,0.6097560975609756,0.7339449541284404,0.8013200747327691
200,64,200,200,relu,adam,0.001,0.0,0.0,0.9514170040485832,0.80625,0.7865853658536586,0.7962962962962963,0.8803165422822081
300,64,200,200,relu,adam,0.001,0.0,0.0,0.9514170040485832,0.8081761006289309,0.7835365853658537,0.7956656346749226,0.8790014446293479
200,64,200,200,relu,adam,0.001,0.001,0.0,0.9425837320574164,0.7704402515723271,0.7469512195121951,0.7585139318885449,0.8581972506100114
300,64,200,200,relu,adam,0.001,0.001,0.0,0.9400073610599926,0.7350427350427351,0.7865853658536586,0.7599410898379971,0.8738284719598975
200,64,200,200,relu,sgd,0.1,0.0,0.0,0.9532572690467428,0.8092307692307692,0.8018292682926829,0.8055130168453293,0.8879384935017203
300,64,200,200,relu,sgd,0.1,0.0,0.0,0.9528892160471109,0.8067484662576687,0.8018292682926829,0.8042813455657493,0.8877292009106779
200,64,200,200,relu,sgd,0.1,0.001,0.0,0.9470003680529996,0.7584269662921348,0.8231707317073171,0.7894736842105263,0.8935862030240228
300,64,200,200,relu,sgd,0.1,0.001,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
200,64,200,200,relu,sgd,0.001,0.0,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
300,64,200,200,relu,sgd,0.001,0.0,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
200,64,200,200,relu,sgd,0.001,0.001,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
300,64,200,200,relu,sgd,0.001,0.001,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
200,64,200,200,tanh,adam,0.1,0.0,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
300,64,200,200,tanh,adam,0.1,0.0,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
200,64,200,200,tanh,adam,0.1,0.001,0.5,0.1207213838792786,0.1207213838792786,1.0,0.21543513957307064,0.5
300,64,200,200,tanh,adam,0.1,0.001,0.5,0.1207213838792786,0.1207213838792786,1.0,0.21543513957307064,0.5
200,64,200,200,tanh,adam,0.001,0.0,0.5,0.9609863820390137,0.87,0.7957317073170732,0.8312101910828026,0.8897034426078877
300,64,200,200,tanh,adam,0.001,0.0,0.5,0.9606183290393816,0.867109634551495,0.7957317073170732,0.8298887122416534,0.8894941500168455
200,64,200,200,tanh,adam,0.001,0.001,0.5,0.9418476260581524,0.8148148148148148,0.6707317073170732,0.7357859531772575,0.8249012241064227
300,64,200,200,tanh,adam,0.001,0.001,0.5,0.9326463010673536,0.7138643067846607,0.7378048780487805,0.7256371814092953,0.8486010576932894
200,64,200,200,tanh,sgd,0.1,0.0,0.5,0.9521531100478468,0.8055555555555556,0.7957317073170732,0.8006134969325154,0.8846804204228731
300,64,200,200,tanh,sgd,0.1,0.0,0.5,0.9517850570482148,0.8049535603715171,0.7926829268292683,0.7987711213517665,0.8831560301789707
200,64,200,200,tanh,sgd,0.1,0.001,0.5,0.9455281560544718,0.7571428571428571,0.8079268292682927,0.7817109144542773,0.8861735443955527
300,64,200,200,tanh,sgd,0.1,0.001,0.5,0.9554655870445344,0.8165137614678899,0.8140243902439024,0.815267175572519,0.8944546396594145
200,64,200,200,tanh,sgd,0.001,0.0,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
300,64,200,200,tanh,sgd,0.001,0.0,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
200,64,200,200,tanh,sgd,0.001,0.001,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
300,64,200,200,tanh,sgd,0.001,0.001,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
200,64,200,200,relu,adam,0.1,0.0,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
300,64,200,200,relu,adam,0.1,0.0,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
200,64,200,200,relu,adam,0.1,0.001,0.5,0.8789105631210894,0.3333333333333333,0.003048780487804878,0.006042296072507553,0.5011058050618179
300,64,200,200,relu,adam,0.1,0.001,0.5,0.8763341921236658,0.21428571428571427,0.009146341463414634,0.017543859649122806,0.5022709522302423
200,64,200,200,relu,adam,0.001,0.0,0.5,0.9558336400441664,0.8586206896551725,0.7591463414634146,0.8058252427184466,0.870992174498974
300,64,200,200,relu,adam,0.001,0.0,0.5,0.9569377990430622,0.8727915194346291,0.7530487804878049,0.8085106382978723,0.8689898569663805
200,64,200,200,relu,adam,0.001,0.001,0.5,0.9403754140596244,0.7677419354838709,0.725609756097561,0.7460815047021944,0.8477358114937366
300,64,200,200,relu,adam,0.001,0.001,0.5,0.9392712550607288,0.7308781869688386,0.7865853658536586,0.7577092511013216,0.873409886777813
200,64,200,200,relu,sgd,0.1,0.0,0.5,0.9506808980493192,0.7904191616766467,0.8048780487804879,0.7975830815709971,0.8877885430172846
300,64,200,200,relu,sgd,0.1,0.0,0.5,0.9495767390504232,0.7850746268656716,0.8018292682926829,0.7933634992458521,0.8858455675912974
200,64,200,200,relu,sgd,0.1,0.001,0.5,0.9532572690467428,0.8190476190476189,0.7865853658536586,0.8024883359253501,0.8813630052374195
300,64,200,200,relu,sgd,0.1,0.001,0.5,0.9543614280456386,0.8290322580645161,0.7835365853658537,0.8056426332288401,0.8806757853576862
200,64,200,200,relu,sgd,0.001,0.0,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
300,64,200,200,relu,sgd,0.001,0.0,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
200,64,200,200,relu,sgd,0.001,0.001,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
300,64,200,200,relu,sgd,0.001,0.001,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
200,64,200,300,tanh,adam,0.1,0.0,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
300,64,200,300,tanh,adam,0.1,0.0,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
200,64,200,300,tanh,adam,0.1,0.001,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
300,64,200,300,tanh,adam,0.1,0.001,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
200,64,200,300,tanh,adam,0.001,0.0,0.0,0.9521531100478468,0.8173076923076923,0.7774390243902439,0.796875,0.8767898345057122
300,64,200,300,tanh,adam,0.001,0.0,0.0,0.9521531100478469,0.8173076923076923,0.7774390243902439,0.796875,0.8767898345057122
