word2vec,epoch,batch_size,hidden_dim,activate_func,optimizer,learning_rate,l2_regular,dropout_rate,accuracy,precision,recall,f1,auc
GoogleNews-vectors-negative300.bin,200,64,100,tanh,adam,0.1,0.0,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
GoogleNews-vectors-negative300.bin,300,64,100,tanh,adam,0.1,0.0,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
GoogleNews-vectors-negative300.bin,400,64,100,tanh,adam,0.1,0.0,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
GoogleNews-vectors-negative300.bin,200,64,100,tanh,adam,0.1,0.001,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
GoogleNews-vectors-negative300.bin,300,64,100,tanh,adam,0.1,0.001,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
GoogleNews-vectors-negative300.bin,400,64,100,tanh,adam,0.1,0.001,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
GoogleNews-vectors-negative300.bin,200,64,100,tanh,adam,0.001,0.0,0.0,0.9598822230401178,0.8211143695014663,0.8536585365853658,0.8370702541106129,0.914062420239104
GoogleNews-vectors-negative300.bin,300,64,100,tanh,adam,0.001,0.0,0.0,0.9591461170408538,0.8144927536231884,0.8567073170731707,0.8350668647845468,0.9149589327098796
GoogleNews-vectors-negative300.bin,400,64,100,tanh,adam,0.001,0.0,0.0,0.9591461170408538,0.8144927536231884,0.8567073170731707,0.8350668647845468,0.9149589327098796
GoogleNews-vectors-negative300.bin,200,64,100,tanh,adam,0.001,0.001,0.0,0.9495767390504232,0.7902735562310029,0.7926829268292683,0.791476407914764,0.881900274632717
GoogleNews-vectors-negative300.bin,300,64,100,tanh,adam,0.001,0.001,0.0,0.9381670960618328,0.7222222222222222,0.7926829268292683,0.7558139534883721,0.8754122043104064
GoogleNews-vectors-negative300.bin,400,64,100,tanh,adam,0.001,0.001,0.0,0.9462642620537356,0.7757575757575758,0.7804878048780488,0.7781155015197568,0.8747562507018959
GoogleNews-vectors-negative300.bin,200,64,100,tanh,sgd,0.1,0.0,0.0,0.9484725800515276,0.7732558139534884,0.8109756097560976,0.7916666666666666,0.8891629827767513
GoogleNews-vectors-negative300.bin,300,64,100,tanh,sgd,0.1,0.0,0.0,0.9495767390504232,0.7800586510263929,0.8109756097560976,0.7952167414050823,0.8897908605498781
GoogleNews-vectors-negative300.bin,400,64,100,tanh,sgd,0.1,0.0,0.0,0.9495767390504232,0.7800586510263929,0.8109756097560976,0.7952167414050823,0.8897908605498781
GoogleNews-vectors-negative300.bin,200,64,100,tanh,sgd,0.1,0.001,0.0,0.9528892160471109,0.7958579881656804,0.8201219512195121,0.8078078078078078,0.8956197868278388
GoogleNews-vectors-negative300.bin,300,64,100,tanh,sgd,0.1,0.001,0.0,0.9595141700404858,0.8343558282208589,0.8292682926829268,0.8318042813455657,0.9033323464251805
GoogleNews-vectors-negative300.bin,400,64,100,tanh,sgd,0.1,0.001,0.0,0.9252852410747148,0.9310344827586208,0.4115853658536585,0.5708245243128964,0.7036997570164065
GoogleNews-vectors-negative300.bin,200,64,100,tanh,sgd,0.001,0.0,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
GoogleNews-vectors-negative300.bin,300,64,100,tanh,sgd,0.001,0.0,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
