epoch,batch_size,embedding_dim,hidden_dim,activate_func,optimizer,learning_rate,l2_regular,dropout_rate,accuracy,precision,recall,f1,auc
200,64,200,100,tanh,adam,0.1,0.0,0.0,0.9186602870813396,0.6754098360655738,0.6280487804878049,0.65086887835703,0.793304423730717
300,64,200,100,tanh,adam,0.1,0.0,0.0,0.8432094221567906,0.4012096774193548,0.6067073170731707,0.4830097087378641,0.7411937589970291
200,64,200,100,tanh,adam,0.1,0.001,0.0,0.94516010305484,0.8683127572016461,0.6432926829268293,0.7390542907180385,0.8149489785500618
250,64,200,100,tanh,adam,0.1,0.0,0.0,0.7125506072874493,0.20622568093385213,0.4847560975609756,0.2893539581437671,0.6142909830626142
250,64,200,100,tanh,adam,0.1,0.001,0.0,0.8627162311372838,0.4582560296846011,0.7530487804878049,0.5697808535178778,0.8154109536595576
200,64,200,100,tanh,adam,0.001,0.0,0.0,0.95841001104159,0.8501628664495114,0.7957317073170732,0.8220472440944881,0.8882383944705919
250,64,200,100,tanh,adam,0.001,0.0,0.0,0.95841001104159,0.8501628664495114,0.7957317073170732,0.8220472440944881,0.8882383944705919
200,64,200,100,tanh,adam,0.001,0.001,0.0,0.9120353330879648,0.592901878914405,0.8658536585365854,0.7038413878562577,0.8921147740150487
250,64,200,100,tanh,adam,0.001,0.001,0.0,0.9330143540669856,0.6798029556650246,0.8414634146341463,0.7520435967302452,0.8935236704815771
200,64,200,100,tanh,sgd,0.1,0.0,0.0,0.9536253220463746,0.7953216374269005,0.8292682926829268,0.8119402985074626,0.8999836649685041
250,64,200,100,tanh,sgd,0.1,0.0,0.0,0.9528892160471109,0.7941176470588235,0.8231707317073171,0.8083832335329342,0.8969348844806992
200,64,200,100,tanh,sgd,0.1,0.001,0.0,0.9521531100478468,0.775,0.850609756097561,0.811046511627907,0.9083521781743559
250,64,200,100,tanh,sgd,0.1,0.001,0.0,0.9528892160471109,0.7793296089385475,0.850609756097561,0.8134110787172012,0.9087707633564406
200,64,200,100,tanh,sgd,0.001,0.0,0.0,0.6264262053735737,0.21588089330024807,0.7957317073170732,0.33962264150943394,0.6994564773504579
250,64,200,100,tanh,sgd,0.001,0.0,0.0,0.8524107471475892,0.4312617702448211,0.6981707317073171,0.5331781140861467,0.7858790033588909
200,64,200,100,tanh,sgd,0.001,0.001,0.0,0.6172248803827751,0.21197411003236247,0.7987804878048781,0.3350383631713555,0.6955392602272612
250,64,200,100,tanh,sgd,0.001,0.001,0.0,0.6558704453441295,0.23070097604259096,0.7926829268292683,0.3573883161512028,0.7148847869809799
200,64,200,100,relu,adam,0.1,0.0,0.0,0.8781744571218255,0.0,0.0,0.0,0.4993721222268732
250,64,200,100,relu,adam,0.1,0.0,0.0,0.8785425101214575,0.0,0.0,0.0,0.4995814148179154
200,64,200,100,relu,adam,0.1,0.001,0.0,0.8100846521899153,0.353125,0.6890243902439024,0.4669421487603306,0.7578650624304485
250,64,200,100,relu,adam,0.1,0.001,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
200,64,200,100,relu,adam,0.001,0.0,0.0,0.957673905042326,0.8538205980066446,0.7835365853658537,0.8171701112877583,0.8825594186770667
250,64,200,100,relu,adam,0.001,0.0,0.0,0.9573058520426941,0.8509933774834437,0.7835365853658537,0.8158730158730159,0.8823501260860244
200,64,200,100,relu,adam,0.001,0.001,0.0,0.957305852042694,0.8397435897435898,0.7987804878048781,0.81875,0.8889256143503252
250,64,200,100,relu,adam,0.001,0.001,0.0,0.9562016930437984,0.8275862068965517,0.8048780487804879,0.8160741885625966,0.8909279318829187
200,64,200,100,relu,sgd,0.1,0.0,0.0,0.9536253220463746,0.7970588235294118,0.8262195121951219,0.811377245508982,0.8986685673156438
250,64,200,100,relu,sgd,0.1,0.0,0.0,0.9536253220463746,0.7970588235294118,0.8262195121951219,0.811377245508982,0.8986685673156438
200,64,200,100,relu,sgd,0.1,0.001,0.0,0.9525211630474788,0.7787114845938375,0.8475609756097561,0.8116788321167884,0.907246373112538
250,64,200,100,relu,sgd,0.1,0.001,0.0,0.951048951048951,0.7586206896551724,0.8719512195121951,0.8113475177304964,0.9169299839712504
200,64,200,100,relu,sgd,0.001,0.0,0.0,0.6072874493927125,0.20744259699129056,0.7987804878048781,0.32935260842237585,0.6898883602691197
250,64,200,100,relu,sgd,0.001,0.0,0.0,0.6426205373573795,0.2235597592433362,0.7926829268292683,0.3487592219986586,0.7073502537034579
