epoch,batch_size,embedding_dim,hidden_dim,activate_func,optimizer,learning_rate,l2_regular,dropout_rate,accuracy,precision,recall,f1,auc
200,64,200,100,tanh,adam,0.1,0.0,0.0,0.5728542914171657,0.0,0.0,0.0,0.5
300,64,200,100,tanh,adam,0.1,0.0,0.0,0.4271457085828344,0.4271457085828344,1.0,0.5986013986013986,0.5
400,64,200,100,tanh,adam,0.1,0.0,0.0,0.5728542914171657,0.0,0.0,0.0,0.5
200,64,200,100,tanh,adam,0.1,0.001,0.0,0.5728542914171657,0.0,0.0,0.0,0.5
300,64,200,100,tanh,adam,0.1,0.001,0.0,0.4271457085828344,0.4271457085828344,1.0,0.5986013986013986,0.5
400,64,200,100,tanh,adam,0.1,0.001,0.0,0.4271457085828344,0.4271457085828344,1.0,0.5986013986013986,0.5
200,64,200,100,tanh,adam,0.01,0.0,0.0,0.8123752495009979,0.8191489361702128,0.7196261682242991,0.7661691542288557,0.8005796346347976
300,64,200,100,tanh,adam,0.01,0.0,0.0,0.8043912175648703,0.7929292929292929,0.7336448598130841,0.7621359223300971,0.7953938584779707
400,64,200,100,tanh,adam,0.01,0.0,0.0,0.7904191616766467,0.7794871794871795,0.7102803738317757,0.7432762836185819,0.7802272949298252
200,64,200,100,tanh,adam,0.01,0.001,0.0,0.7564870259481038,0.7948717948717948,0.5794392523364486,0.6702702702702703,0.7339704972483638
300,64,200,100,tanh,adam,0.01,0.001,0.0,0.7305389221556886,0.6652719665271967,0.7429906542056075,0.7019867549668874,0.7321225048031522
400,64,200,100,tanh,adam,0.01,0.001,0.0,0.6926147704590818,0.7830188679245284,0.3878504672897196,0.51875,0.65385554723371
200,64,200,100,tanh,adam,0.001,0.0,0.0,0.780439121756487,0.8023255813953488,0.6448598130841121,0.7150259067357513,0.7631964570647042
300,64,200,100,tanh,adam,0.001,0.0,0.0,0.7964071856287425,0.8333333333333334,0.6542056074766355,0.7329842931937173,0.7783223159334398
400,64,200,100,tanh,adam,0.001,0.0,0.0,0.8083832335329342,0.8390804597701149,0.6822429906542056,0.7525773195876289,0.7923410075222247
200,64,200,100,tanh,adam,0.001,0.001,0.0,0.8023952095808383,0.8859060402684564,0.616822429906542,0.7272727272727273,0.7787944902145951
300,64,200,100,tanh,adam,0.001,0.001,0.0,0.7924151696606786,0.8055555555555556,0.677570093457944,0.7360406091370558,0.7778094369728743
400,64,200,100,tanh,adam,0.001,0.001,0.0,0.7984031936127745,0.7989417989417991,0.705607476635514,0.7493796526054591,0.7866016477254225
200,64,200,100,tanh,sgd,0.1,0.0,0.0,0.8163672654690619,0.8080808080808081,0.7476635514018691,0.7766990291262136,0.8076296851086001
300,64,200,100,tanh,sgd,0.1,0.0,0.0,0.8203592814371258,0.8131313131313131,0.7523364485981309,0.7815533980582524,0.8117082939854765
400,64,200,100,tanh,sgd,0.1,0.0,0.0,0.8223552894211577,0.8205128205128205,0.7476635514018691,0.7823960880195602,0.812856165944837
200,64,200,100,tanh,sgd,0.1,0.001,0.0,0.8263473053892215,0.8432432432432433,0.7289719626168224,0.7819548872180451,0.8139633332247876
300,64,200,100,tanh,sgd,0.1,0.001,0.0,0.7964071856287425,0.7947368421052632,0.705607476635514,0.7475247524752475,0.7848594874466768
400,64,200,100,tanh,sgd,0.1,0.001,0.0,0.7784431137724551,0.8159509202453987,0.6214953271028038,0.7055702917771883,0.7584828551890326
200,64,200,100,tanh,sgd,0.01,0.0,0.0,0.5728542914171657,0.0,0.0,0.0,0.5
300,64,200,100,tanh,sgd,0.01,0.0,0.0,0.5728542914171657,0.0,0.0,0.0,0.5
400,64,200,100,tanh,sgd,0.01,0.0,0.0,0.5728542914171657,0.0,0.0,0.0,0.5
200,64,200,100,tanh,sgd,0.01,0.001,0.0,0.5728542914171657,0.0,0.0,0.0,0.5
300,64,200,100,tanh,sgd,0.01,0.001,0.0,0.5728542914171657,0.0,0.0,0.0,0.5
400,64,200,100,tanh,sgd,0.01,0.001,0.0,0.5728542914171657,0.0,0.0,0.0,0.5
200,64,200,100,tanh,sgd,0.001,0.0,0.0,0.5728542914171657,0.0,0.0,0.0,0.5
300,64,200,100,tanh,sgd,0.001,0.0,0.0,0.5728542914171657,0.0,0.0,0.0,0.5
400,64,200,100,tanh,sgd,0.001,0.0,0.0,0.5728542914171657,0.0,0.0,0.0,0.5
200,64,200,100,tanh,sgd,0.001,0.001,0.0,0.5728542914171657,0.0,0.0,0.0,0.5
300,64,200,100,tanh,sgd,0.001,0.001,0.0,0.5728542914171657,0.0,0.0,0.0,0.5
400,64,200,100,tanh,sgd,0.001,0.001,0.0,0.5728542914171657,0.0,0.0,0.0,0.5
200,64,200,100,relu,adam,0.1,0.0,0.0,0.6407185628742516,0.9473684210526316,0.16822429906542055,0.2857142857142857,0.5806278289752189
