word2vec,epoch,batch_size,hidden_dim,activate_func,optimizer,learning_rate,l2_regular,dropout_rate,accuracy,precision,recall,f1,auc
w2v_jawiki_d200_w12.model,200,64,100,tanh,adam,0.1,0.0,0.0,0.6546906187624749,0.6496350364963503,0.4158878504672897,0.5071225071225072,0.6243202318538539
w2v_jawiki_d200_w12.model,300,64,100,tanh,adam,0.1,0.0,0.0,0.6806387225548902,0.6391752577319587,0.5794392523364486,0.6078431372549019,0.6677684066560292
w2v_jawiki_d200_w12.model,400,64,100,tanh,adam,0.1,0.0,0.0,0.6666666666666666,0.6205128205128205,0.5654205607476636,0.5916870415647921,0.6537904197466541
w2v_jawiki_d200_w12.model,200,64,100,tanh,adam,0.1,0.001,0.0,0.4271457085828344,0.4271457085828344,1.0,0.5986013986013986,0.5
w2v_jawiki_d200_w12.model,300,64,100,tanh,adam,0.1,0.001,0.0,0.4271457085828344,0.4271457085828344,1.0,0.5986013986013986,0.5
w2v_jawiki_d200_w12.model,400,64,100,tanh,adam,0.1,0.001,0.0,0.4271457085828344,0.4271457085828344,1.0,0.5986013986013986,0.5
w2v_jawiki_d200_w12.model,200,64,100,tanh,adam,0.01,0.0,0.0,0.8363273453093812,0.8267326732673267,0.7803738317757009,0.8028846153846154,0.8292113061317529
w2v_jawiki_d200_w12.model,300,64,100,tanh,adam,0.01,0.0,0.0,0.8103792415169659,0.7819905213270142,0.7710280373831776,0.7764705882352941,0.8053746458692892
w2v_jawiki_d200_w12.model,400,64,100,tanh,adam,0.01,0.0,0.0,0.8383233532934131,0.8036529680365296,0.8224299065420559,0.812933025404157,0.8363020612849654
w2v_jawiki_d200_w12.model,200,64,100,tanh,adam,0.01,0.001,0.0,0.8303393213572854,0.8115942028985508,0.7850467289719626,0.7980997624703088,0.8245791136149011
w2v_jawiki_d200_w12.model,300,64,100,tanh,adam,0.01,0.001,0.0,0.8263473053892215,0.8128078817733991,0.7710280373831776,0.7913669064748201,0.8193119280992543
w2v_jawiki_d200_w12.model,400,64,100,tanh,adam,0.01,0.001,0.0,0.8143712574850299,0.7951219512195122,0.7616822429906542,0.7780429594272077,0.80767038978801
w2v_jawiki_d200_w12.model,200,64,100,tanh,adam,0.001,0.0,0.0,0.8363273453093812,0.8402061855670103,0.7616822429906542,0.7990196078431373,0.8268341528542121
w2v_jawiki_d200_w12.model,300,64,100,tanh,adam,0.001,0.0,0.0,0.8263473053892215,0.8324607329842932,0.7429906542056075,0.7851851851851852,0.8157461981829431
w2v_jawiki_d200_w12.model,400,64,100,tanh,adam,0.001,0.0,0.0,0.8223552894211577,0.8342245989304813,0.7289719626168224,0.7780548628428927,0.8104790126672964
w2v_jawiki_d200_w12.model,200,64,100,tanh,adam,0.001,0.001,0.0,0.8243512974051896,0.8387096774193549,0.7289719626168224,0.78,0.8122211729460419
w2v_jawiki_d200_w12.model,300,64,100,tanh,adam,0.001,0.001,0.0,0.8223552894211577,0.8238341968911918,0.7429906542056075,0.7813267813267813,0.8122618776254519
w2v_jawiki_d200_w12.model,400,64,100,tanh,adam,0.001,0.001,0.0,0.8243512974051896,0.8028846153846154,0.7803738317757009,0.7914691943127962,0.8187583444592791
w2v_jawiki_d200_w12.model,200,64,100,tanh,sgd,0.1,0.0,0.0,0.8323353293413174,0.8155339805825242,0.7850467289719626,0.8,0.8263212738936467
w2v_jawiki_d200_w12.model,300,64,100,tanh,sgd,0.1,0.0,0.0,0.8343313373253493,0.8104265402843602,0.7990654205607477,0.8047058823529412,0.8298462991305481
w2v_jawiki_d200_w12.model,400,64,100,tanh,sgd,0.1,0.0,0.0,0.8343313373253493,0.8104265402843602,0.7990654205607477,0.8047058823529412,0.8298462991305481
w2v_jawiki_d200_w12.model,200,64,100,tanh,sgd,0.1,0.001,0.0,0.8203592814371258,0.8163265306122449,0.7476635514018691,0.7804878048780488,0.8111140056660915
w2v_jawiki_d200_w12.model,300,64,100,tanh,sgd,0.1,0.001,0.0,0.8283433133732535,0.8265306122448979,0.7570093457943925,0.7902439024390244,0.8192712234198444
w2v_jawiki_d200_w12.model,400,64,100,tanh,sgd,0.1,0.001,0.0,0.8323353293413174,0.8217821782178217,0.7757009345794392,0.7980769230769231,0.8251326972548765
w2v_jawiki_d200_w12.model,200,64,100,tanh,sgd,0.01,0.0,0.0,0.8403193612774451,0.8018018018018018,0.8317757009345794,0.8165137614678899,0.8392327982024812
w2v_jawiki_d200_w12.model,300,64,100,tanh,sgd,0.01,0.0,0.0,0.7964071856287425,0.8111111111111111,0.6822429906542056,0.7411167512690355,0.7818880458497508
w2v_jawiki_d200_w12.model,400,64,100,tanh,sgd,0.01,0.0,0.0,0.7984031936127745,0.7958115183246073,0.7102803738317757,0.7506172839506173,0.7871959360448078
w2v_jawiki_d200_w12.model,200,64,100,tanh,sgd,0.01,0.001,0.0,0.844311377245509,0.8090909090909091,0.8317757009345794,0.8202764976958525,0.8427171187599726
w2v_jawiki_d200_w12.model,300,64,100,tanh,sgd,0.01,0.001,0.0,0.8143712574850299,0.8418079096045198,0.6962616822429907,0.7621483375959079,0.7993503533166173
w2v_jawiki_d200_w12.model,400,64,100,tanh,sgd,0.01,0.001,0.0,0.8083832335329342,0.8072916666666666,0.7242990654205608,0.7635467980295566,0.7976896023966915
w2v_jawiki_d200_w12.model,200,64,100,tanh,sgd,0.001,0.0,0.0,0.5728542914171657,0.0,0.0,0.0,0.5
w2v_jawiki_d200_w12.model,300,64,100,tanh,sgd,0.001,0.0,0.0,0.5728542914171657,0.0,0.0,0.0,0.5
w2v_jawiki_d200_w12.model,400,64,100,tanh,sgd,0.001,0.0,0.0,0.5728542914171657,0.0,0.0,0.0,0.5
w2v_jawiki_d200_w12.model,200,64,100,tanh,sgd,0.001,0.001,0.0,0.5728542914171657,0.0,0.0,0.0,0.5
w2v_jawiki_d200_w12.model,300,64,100,tanh,sgd,0.001,0.001,0.0,0.5728542914171657,0.0,0.0,0.0,0.5
w2v_jawiki_d200_w12.model,400,64,100,tanh,sgd,0.001,0.001,0.0,0.5728542914171657,0.0,0.0,0.0,0.5
w2v_jawiki_d200_w12.model,200,64,100,relu,adam,0.1,0.0,0.0,0.5728542914171657,0.0,0.0,0.0,0.5
